Name,Developer,Installs,Category,Size,Rating,Votes,5 Stars,1 Star
Rugby Speed & Agility,LOYAL Health & Fitness,<۱۰,ورزشی,۸۲ مگابایت,0.0,0,0,0
ورزشگاه-پیشبینی و نتایج زنده فوتبال,باشگاه اپلیکیشن,+۲۰ هزار,ورزشی,۳۷ مگابایت,4.2,436,71,13
IMSA,"International Motor Sports Association, LLC",<۱۰,ورزشی,۲۰ مگابایت,0.0,0,0,0
Scoreboard Volley ++,Alecs+++,<۱۰,ورزشی,۹ مگابایت,0.0,0,0,0
Premier League – لیگ برتر انگلستان,The Football Association Premier League Ltd,+۱۰ هزار,ورزشی,۳۰ مگابایت,4.6,50,80,6
Judo Training,LOYAL Health & Fitness,<۱۰,ورزشی,۸۰ مگابایت,0.0,0,0,0
Skitude: Outdoor GPS Tracker,Skitude Corp.,<۱۰,ورزشی,۳۸ مگابایت,0.0,0,0,0
MCG,MELBOURNE CRICKET CLUB,<۱۰,ورزشی,۱۴ مگابایت,0.0,0,0,0
My Sports - Airtel,Robi Axiata Ltd,<۱۰,ورزشی,۵ مگابایت,0.0,0,0,0
Bet Analytix,Bet-Analytix,<۱۰,ورزشی,۷ مگابایت,0.0,0,0,0
Fantasy Football Hub: FPL Tips,Fantasy Football Hub Ltd,<۱۰,ورزشی,۲۵ مگابایت,0.0,0,0,0
Live American Basketball NBA,Puelea Incs,<۱۰,ورزشی,۳۰ مگابایت,0.0,0,0,0
Basketball Training,LOYAL Health & Fitness,<۱۰,ورزشی,۸۰ مگابایت,0.0,0,0,0
AFL - Footyinfo Live Scores,Footyinfo,<۱۰,ورزشی,۱۳ مگابایت,0.0,0,0,0
Interval Timer,Martin Machata,<۱۰,ورزشی,۱۰ مگابایت,0.0,0,0,0
ClipMyHorse.TV & FEI.TV,ClipMyHorse.TV,<۱۰,ورزشی,۴۲ مگابایت,0.0,0,0,0
FotMob – نتایج زندهی فوتبال,FotMob AS,+۲۰۰ هزار,ورزشی,۳۸ مگابایت,4.8,27946,88,2
"cricket forecast ( prediction,",SPORTSERA LTD,<۱۰,ورزشی,۱۲ مگابایت,0.0,0,0,0
Aikido Intermediate 1,Barakkuda Co. Ltd,<۱۰,ورزشی,۱۵۵ مگابایت,0.0,0,0,0
Cricket XT,Cricket XT,<۱۰,ورزشی,۱۱ مگابایت,0.0,0,0,0
SkyPro Swing Trainer,Skyhawke Technologies,<۱۰,ورزشی,۳۱ مگابایت,0.0,0,0,0
Agility Ladder - develop footw,LOYAL Health & Fitness,<۱۰,ورزشی,۸۴ مگابایت,0.0,0,0,0
SAP Team One,SAP SE,<۱۰,ورزشی,۱۱ مگابایت,0.0,0,0,0
UK Live Sport TV Listings,Mobile2ds,<۱۰,ورزشی,۱۷ مگابایت,0.0,0,0,0
Cricket Ground Line,Dailydose,<۱۰,ورزشی,۷ مگابایت,0.0,0,0,0
"Alvarez,sport and leisure time","Alvarez, deporte y tiempo libre",<۱۰,ورزشی,۵ مگابایت,0.0,0,0,0
Live Cricket Match Scores,webcreation,<۱۰,ورزشی,۸ مگابایت,0.0,0,0,0
Football Livescore and News,Ssu-Technology Limited (Swiftspeed),<۱۰,ورزشی,۱۲ مگابایت,0.0,0,0,0
Vertical-Life: Outdoor and Ind,Vertical-Life,<۱۰,ورزشی,۶۵ مگابایت,0.0,0,0,0
Skisporet.no Android app,Brav Android Dev,<۱۰,ورزشی,۲۱ مگابایت,0.0,0,0,0
Next Sports,NEXT MEDIA SOLUTIONS JOIN STOCK COMPANY,<۱۰,ورزشی,۳۷ مگابایت,0.0,0,0,0
igMember,intelligentgolf,<۱۰,ورزشی,۱۳ مگابایت,0.0,0,0,0
