5 Stars,1 Star,En_Category,Install_con,Cleaned_Name,Rate
0,0,vrzshy,10,A,0
93,2,vrzshy,5000,اپلیکیشن,4
0,0,vrzshy,10,Motivational,0
0,0,vrzshy,10,Bike,0
61,20,vrzshy,10000,فوتبال,3
100,0,vrzshy,10,Passion,5
0,0,vrzshy,10,Tips2Bet,0
0,0,vrzshy,10,Soccer,0
0,100,vrzshy,50,Full,1
0,0,vrzshy,10,Hunting,0
81,13,vrzshy,5000,Da,4
0,0,vrzshy,10,The42.ie,0
76,5,vrzshy,100000,اخبار,4
0,0,vrzshy,10,Westminster,0
0,0,vrzshy,10,NCAA,0
0,0,vrzshy,10,AleScore,0
0,0,vrzshy,10,Hockey,0
0,0,vrzshy,10,Leisure.ly,0
0,0,vrzshy,10,Coyote,0
0,0,vrzshy,10,Horse,0
0,0,vrzshy,10,Betting,0
0,0,vrzshy,10,Spektrum,0
0,0,vrzshy,10,Domyos,0
67,17,vrzshy,5000,Target,3
63,0,vrzshy,1000,Volleyball,4
0,0,vrzshy,10,RaceHero,0
72,8,srgrmy,200000,سیمایهمراه,4
0,0,vrzshy,10,Brooklyn,0
0,0,vrzshy,10,Box,0
0,0,vrzshy,10,My,0
0,0,vrzshy,10,AFA,0
0,0,vrzshy,10,Live,0
0,0,vrzshy,10,predictor,0
53,18,vrzshy,2000,Lineup11,3
90,3,tnasb andam,1000000,شکم,4
68,10,vrzshy,50000,افزایش,4
0,0,vrzshy,10,AL.com,0
0,0,vrzshy,10,RotoQL,0
73,6,vrzshy,50000,ورزش,4
64,18,vrzshy,100000,Formula,3
0,0,vrzshy,10,TIP365,0
0,0,vrzshy,10,TAG,0
0,0,vrzshy,10,SacramentoKings+Golden1Center,0
0,0,vrzshy,10,Cricket,0
0,0,vrzshy,10,Vtrakit,0
0,0,vrzshy,10,Kings,0
71,14,vrzshy,5000,Soccer,4
0,0,vrzshy,10,Paretobet,0
0,0,vrzshy,10,CASIO,0
80,6,tnasb andam,20000,جیم,4
0,0,vrzshy,10,DreamFootball,0
88,4,vrzshy,50000,خبرخوان,4
93,2,vrzshy,500000,فوتبال,4
78,8,vrzshy,2000,ابراسپورت,4
72,6,tnasb andam,1000000,کرفس,4
0,0,vrzshy,10,Cardiff,0
0,0,vrzshy,10,Smartberry,0
0,0,vrzshy,10,Football,0
70,13,vrzshy,20000,آموزش,4
0,0,vrzshy,10,Live,0
0,0,vrzshy,10,Hubba,0
0,0,vrzshy,10,TURFBEE,0
0,0,vrzshy,10,Planet,0
0,0,vrzshy,10,CrickOne,0
0,0,vrzshy,10,Shillong,0
0,0,vrzshy,10,PP11,0
0,0,vrzshy,10,Bet,0
0,0,vrzshy,10,Futsal,0
0,0,vrzshy,10,HIGH,0
81,4,srgrmy,5000000,آنتن,4
0,0,vrzshy,10,Vip,0
0,0,vrzshy,10,TodayBet,0
0,0,vrzshy,10,SuperCoach,0
0,0,vrzshy,10,Live,0
0,0,vrzshy,10,Tournament,0
0,0,vrzshy,10,Paris,0
0,0,vrzshy,10,OSM,0
0,0,vrzshy,10,Winning,0
0,0,vrzshy,10,Double,0
0,0,vrzshy,10,Vip,0
0,0,vrzshy,10,SEC,0
0,0,vrzshy,10,African,0
0,0,vrzshy,10,Basketball,0
0,0,vrzshy,10,WebCricket,0
0,0,vrzshy,10,Cricket,0
86,6,tnasb andam,100000,انرجیم,4
